                x           y           z
0      -29.264713  -10.008836 -463.078901
1      -27.003433  -11.023584 -453.285689
2      -22.571142  -15.375715 -453.714032
3      -17.863328  -19.843431 -452.641679
4      -12.807664  -23.565501 -452.254375
5       -8.303040  -25.593344 -450.617411
6       -3.772613  -26.267743 -450.018775
7        1.331987  -25.858870 -452.349957
8        6.145341  -24.275969 -449.448784
9       10.856635  -21.489783 -448.091312
10      16.743560  -16.817594 -451.616774
11      22.086916  -10.705323 -452.411299
12      25.573177   -4.493871 -451.862422
13      27.062339    1.859602 -451.374597
14      26.642017    7.539026 -449.012395
15      24.985740   11.874510 -450.056888
16      22.493084   14.916255 -455.278575
17      18.663918   18.374027 -457.576380
18      14.692298   20.550779 -453.707724
19       9.132470   22.874742 -451.371255
20       1.478905   24.838986 -444.608035
21      -5.046233   25.435330 -437.540237
22     -10.522039   24.387595 -432.947329
23     -14.788596   22.059972 -432.098344
24     -19.737585   17.894652 -431.814224
25     -23.171805   13.893968 -432.414897
26     -24.752770   10.550269 -433.493487
27     -25.652928    5.881766 -430.677597
28     -25.415174    0.458908 -425.857979
29     -23.933699   -5.772565 -411.116442
30     -21.304621  -11.142629 -399.893358
31     -17.474664  -15.566729 -390.317829
32     -12.029693  -19.878612 -384.588116
33      -4.527522  -23.961220 -384.167398
34       2.878807  -26.408011 -387.563206
35       8.997086  -27.106851 -390.141972
36      13.209909  -26.748061 -391.994244
37      15.930520  -25.783246 -389.055253
38      18.059398  -24.332984 -386.913905
39      20.310302  -22.069756 -387.977270
40      21.855844  -19.932792 -389.379480
41      23.100207  -17.621170 -391.827400
42      25.407644  -13.763353 -394.527300
43      27.272614  -10.192838 -396.259079
44      28.611154   -6.595793 -394.587468
45      29.175037   -4.142742 -391.327991
46      29.123869   -1.515485 -385.791739
47      28.557286    1.235554 -384.826082
48      27.520729    4.437678 -384.791785
49      25.968192    8.713980 -382.886029
50      23.731172   13.338014 -382.000164
51      20.568095   17.570908 -379.163212
52      16.430406   21.351731 -378.301211
53      11.101687   24.902069 -378.271395
54       5.933256   27.316864 -380.159035
55       0.872501   28.449599 -386.447075
56      -3.531448   28.506634 -391.562516
57      -8.030101   27.720606 -393.181881
58     -11.671285   26.424685 -389.249975
59     -15.563728   24.321542 -381.918511
60     -18.499296   22.121121 -372.078247
61     -20.964796   19.432100 -360.345294
62     -23.801556   15.610889 -350.315164
63     -26.232387   11.218801 -340.264725
64     -28.438023    5.762489 -330.309958
65     -29.901533   -0.102714 -316.151765
66     -30.660411   -4.344675 -306.951377
67     -31.008599   -6.695678 -303.553463
68     -31.156707   -7.677637 -301.241161
69     -31.087451   -8.274356 -301.699393
70     -30.797595   -9.082267 -305.856326
71     -30.724875   -9.151606 -308.303448
72     -30.656268   -9.216109 -308.244194
73     -30.715736   -8.954618 -305.595729
74     -30.812883   -8.621677 -305.460080
75     -30.472151   -9.563301 -306.018132
76     -30.143003  -10.480602 -304.633964
77     -29.686393  -11.761323 -304.389173
78     -28.956445  -13.698437 -302.450920
79     -28.927076  -14.594525 -297.999984
80     -28.741046  -15.308064 -293.812387
81     -28.179559  -16.160573 -291.801009
82     -27.242891  -17.254093 -292.888515
83     -26.020742  -18.562891 -293.660570
84     -25.476609  -19.046992 -294.109668
85     -24.673987  -19.764485 -295.064019
86     -23.192209  -21.175300 -297.825024
87     -20.823980  -23.477267 -301.392500
88     -18.735479  -25.413686 -305.147111
89     -16.455602  -27.078838 -306.892685
90     -15.318571  -27.902077 -307.769679
91     -14.667424  -28.308668 -305.376195
92     -14.311175  -28.474657 -305.739880
93     -14.519056  -28.318919 -306.282954
